年,支店,01月,02月,03月,04月,05月,06月,07月,08月,09月,10月,11月,12月
2020,横浜,7689,7713,7122,7944,8588,8277,8052,7838,6007,8978,7565,9793
2020,相模原,5062,1825,2870,9474,2526,8660,2914,5574,5859,4721,7308,8386
2020,横須賀,3981,2514,9290,7293,7617,4962,1171,1142,5794,8189,8081,7563
2020,川崎,3356,3697,3376,6685,2516,2895,1405,1175,9641,3982,6949,9018
2020,小田原,4192,7657,9533,4959,8136,7211,3526,5936,1408,9567,9296,6126
2021,横浜,7641,7519,8762,6483,7283,7241,8601,6022,7058,6385,8855,9394
2021,相模原,1626,4845,2904,8494,1838,2037,3734,3722,4319,6675,4021,7281
2021,横須賀,7119,1462,5348,8767,1779,3874,9459,9116,6119,5456,3674,5516
2021,川崎,2292,5484,5916,3483,2459,6059,3410,4386,7909,5802,4178,5795
2021,小田原,6489,1673,8461,3252,3390,3955,5638,6466,5999,2700,4871,3527
2022,横浜,8515,8854,7735,7382,9095,6083,9419,6668,8572,6241,8083,5746
2022,相模原,7416,6212,3463,5920,3737,4551,7493,3440,4437,3550,6140,9741
2022,横須賀,1290,2019,1166,3151,2662,1723,2948,1467,3871,2627,2081,1638
2022,川崎,3489,2647,2563,7624,1428,2382,1310,3029,4249,9818,7919,9893
2022,小田原,4102,2552,3882,4861,6823,5545,1836,2702,7456,6176,7689,1418
2023,横浜,6084,2047,7785,7408,6380,6431,9375,7830,7829,6870,9435,8982
2023,相模原,5526,1972,8135,5102,4471,6466,1282,2911,4640,2994,9247,7432
2023,横須賀,2957,8080,9713,9994,9629,9808,7995,268,122,5326,7998,7639
2023,川崎,2246,3468,3753,1423,3249,9758,7605,9130,5935,9630,5549,3798
2023,小田原,2284,4612,5027,4395,3754,6873,6009,1472,4184,6326,5001,7418
2024,横浜,4780,9145,7679,2412,4581,2533,,,,,,
2024,相模原,4815,7213,2924,2311,5475,8102,,,,,,
2024,横須賀,1903,1138,4103,1357,5641,3469,,,,,,
2024,川崎,6471,2224,8574,4226,4841,5084,,,,,,
2024,小田原,6749,1182,2872,4290,2298,2592,,,,,,
